Age,GENDER,MARITAL STATUS,NO. OF MEMBERS IN YOUR FAMILY ?,ARE YOU THE PRIMARY EARNER OF YOUR FAMILY ?,Relation with primary earner ?,WHAT IS YOUR HIGHEST EDUCATIONAL QUALIFICATION?,SKILL 1,RATING OF SKILL SET 1 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 1 ?,SKILL 2,RATING OF SKILL SET 2 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 2 ?,SKILL 3,RATING OF SKILL SET 3 (out of  10),HOW MANY YEARS HAVE YOU BEEN ASSOCIATED WITH SKILL 3 ?,DO YOU HAVE ANY CERTIFICATION OF THE ABOVE-MENTIONED SKILL SET?,"OWNERSHIP ( includes Land,machine)",MONTHLY FAMILY INCOME,MONTHLY FAMILY EXPENDITURE,target
40,M,Y,4,Y,None,HSLC,Agriculture,9,28,Business,9,8,Agriculture,8,3,No,"Land,machine",13000,30000,1
32,M,Y,5,N,None,HSLC,Agriculture,9,8,Vegetable Vendor,9,7,No skill,0,0,No,Land,13000,28000,0
72,F,Y,4,N,None,HS,Agriculture,8,14,Dairy Farm,9,4,No skill,0,0,No,Land,11000,11000,0
41,M,Y,3,Y,None,Class VI,Agriculture,9,15,Bamboo plantation,8,8,No skill,0,0,No,Land,16000,7000,1
47,F,Y,3,Y,Father ,BA,Agriculture,9,15,Bamboo plantation,7,15,No skill,0,0,No,"Land,pond",10000,10000,1
67,M,N,4,Y,None,HSLC,Agriculture,9,28,Parmanent Labour,6,4,Handicraft,7,5,No,Land,19000,45000,1
45,M,Y,3,Y,Husband ,MCA,Agriculture,9,9,Beetlenut Plantation,9,7,No skill,0,0,No,Land,16000,8000,1
57,M,Y,4,Y,None,BA,Agriculture,9,32,Agriculture,9,15,No skill,0,0,No,Land,19000,9000,1
38,F,Y,7,N,None,HSLC,Agriculture,9,20,Medical Plant,7,7,No skill,0,0,No,"Land,pond, machines",18000,8000,0
23,M,Y,3,N,None,HS,Agriculture,9,15,Beetlenut Plantation,8,4,Fishery,7,6,No,Land,18000,35000,0
54,M,N,3,Y,Son,HS,Agriculture,9,20,Vegetable Vendor,9,8,Pig Farming,6,1.5,No,Land,11000,13000,1
58,M,Y,7,Y,None,HS,Agriculture,8,4,Bamboo plantation,9,20,Beetlenut Plantation,4,1.5,No,"Land,vehicle",20000,18000,0
